site	mode	delete_url	contact_url	notes
Tumblr	self_service	https://www.tumblr.com/settings/account	https://www.tumblr.com/support	Account settings -> Delete account; credentials/2FA may be required.
Twitch	self_service	https://www.twitch.tv/user/delete-account	https://help.twitch.tv/s/contactsupport	Official delete-account page.
Twitter	self_service	https://x.com/settings/deactivate	https://help.x.com/forms/account-access/deactivate-or-close-account	X deactivation starts a 30-day deletion window.
VideoHive	shared_account	https://account.envato.com/	https://help.market.envato.com/hc/en-us/requests/new	Shared Envato account.
Vivino	self_service	https://www.vivino.com/settings	https://support.vivino.com/hc/en-us/requests/new	Account settings/support.
Wikipedia	no_direct_delete		https://en.wikipedia.org/wiki/Wikipedia:Courtesy_vanishing	Wikimedia accounts generally cannot be deleted; courtesy vanishing/renaming can reduce public attribution.
Windy	discover	https://community.windy.com/me/edit	https://community.windy.com/contact	Probe NodeBB account/settings/contact path.
Xvideos	self_service	https://www.xvideos.com/account	https://info.xvideos.com/contact/	Account/settings or official contact channel; already requested in current queue.
YouTube	shared_account	https://myaccount.google.com/deleteservices	https://support.google.com/youtube/answer/55759	Delete YouTube channel/content without necessarily deleting the Google account.
domestika.org	self_service	https://www.domestika.org/account	https://support.domestika.org/hc/en-us/requests/new	Account settings/support.
last.fm	self_service	https://www.last.fm/settings/account	https://support.last.fm/	Account settings include deletion.
